"name";"sex_dog";"age_dog_month";"castration";"bcs";"keep_reason"
"D0139_C";"male";48;"no";3;"guard"
"D0141_C";"male";96;"no";2;"guard pet meat hunt"
"D0147_C";"male";48;"no";3;"guard shepherd"
"D0150_C";"female";24;"no";3;"guard shepherd"
"D0151_C";"male";48;"no";3;"guard"
"D0156_C";"male";12;"no";2;"guard pet"
"D0173_C";"male";24;"no";3;"guard pet shepherd"
"D0174_C";"male";6;"no";3;"guard shepherd"
"D0184_C";"male";12;"no";3;"guard shepherd"
"D0212_C";"male";60;"no";NA;"guard"
"D021_G";"male";NA;"no";2;"guardian pet"
"D014_G";"female";20;"no";3;"guardian pet"
"D015_G";"male";48;"no";3;"guardian"
"D011_G";"male";24;"no";3;"guardian pet"
"D026_G";"male";96;"no";2;"guardian"
"D012_G";"male";72;"yes";3;"guardian"
"D017_G";"male";24;"no";3;"guardian"
"D029_G";"male";18;"no";3;"guardian"
"D025_G";"male";24;"no";3;"guardian"
"D018_G";"female";24;"no";2;"hunting"
"D020_G";"female";24;"no";3;"guardian"
"D016_G";"male";48;"yes";4;"guardian hunting"
"D028_I";"male";11;"no";3;"guardian pet"
"D061_I";"male";12;"yes";4;"guardian pet"
"D063_I";"female";4;"no";3;"guardian"
"D064_I";"male";8;"no";3;"guardian pet"
"D067_I";"female";11;"no";1;"guardian source_meat"
"D070_I";"male";12;"no";3;"guardian pet"
"D076_I";"female";15;"no";3;"guardian sell"
"D077_I";"female";24;"no";2;"guardian"
"D090_I";"male";12;"no";4;"guardian pet"
"D094_I";"female";48;"no";3;"guardian"
"D012_U";"male";48;"no";3;"guardian companion"
"D026_U";"male";13;"no";3;"guardian companion"
"D027_U";"male";64;"no";3;"guardian"
"D060_U";"male";122;"no";3;"guardian"
"D066_U";"male";48;"no";3;"guardian companion"
"D067_U";"";NA;"";NA;""
"D068_U";"female";48;"no";2;"guardian"
"D069_U";"female";72;"no";4;"guardian"
"D075_U";"male";3;"no";4;"guardian companion"
"D081_U";"female";12;"no";3;"guardian herding"
"D082_U";"female";36;"no";3;"guardian companion"
"D085_U";"male";NA;"no";2;"guardian companion"
"D090_U";"female";48;"no";3;"guardian companion"
"D098_U";"female";248;"no";3;"guardian companion"
